StudyHours,Attendance,PreviousScore,AssignmentScore,WritingSkills,ReadingSkills,ComputerSkills,PercentScore,Grade,Pass/Fail
3.6,78.9,80.6,27.2,1,2,5,54.52,C,Pass
3.5,60.2,65.3,41.7,7,6,8,63.6,B,Pass
2.8,82.4,89.0,64.9,8,4,8,71.42,B+,Pass
5.7,66.8,32.1,72.1,8,3,10,69.32,B,Pass
5.1,76.1,55.0,30.8,8,3,9,66.38,B,Pass
4.5,83.0,50.8,91.3,4,1,7,64.69,B,Pass
4.6,95.4,47.5,75.7,9,3,10,73.17,B+,Pass
3.3,89.6,73.4,85.1,7,9,7,76.28,B+,Pass
5.6,51.1,62.1,33.7,1,5,7,61.09,B,Pass
4.5,57.7,87.3,39.4,8,1,9,69.5,B,Pass
4.6,93.4,33.7,42.6,1,4,10,57.56,C,Pass
5.3,87.2,65.5,99.6,6,10,2,79.24,B+,Pass
2.4,57.4,43.9,24.0,10,2,4,45.92,F,Fail
5.0,79.4,44.4,87.7,8,1,6,67.19,B,Pass
2.0,79.4,30.9,72.9,7,9,6,56.6,C,Pass
2.7,88.7,48.1,96.1,9,4,1,60.11,B,Pass
2.7,90.7,82.9,93.4,3,4,1,62.6,B,Pass
5.9,83.7,77.6,46.2,2,2,8,70.3,B+,Pass
5.3,85.7,66.4,79.0,6,6,4,74.22,B+,Pass
4.5,83.3,84.6,70.7,5,8,1,72.08,B+,Pass
4.6,57.5,38.3,96.4,9,7,3,67.18,B,Pass
3.8,84.2,48.6,38.2,1,9,3,54.5,C,Pass
5.7,73.6,98.7,68.1,8,3,7,83.05,A,Pass
3.5,98.9,80.5,27.1,1,5,2,56.08,C,Pass
2.9,85.4,58.4,61.1,5,3,4,55.9,C,Pass
1.8,68.7,59.2,77.3,4,7,6,57.46,C,Pass
4.9,95.5,71.7,24.2,4,6,10,70.71,B+,Pass
4.7,61.5,30.8,81.4,10,2,8,64.86,B,Pass
2.9,73.4,79.6,53.7,7,2,2,57.9,C,Pass
1.1,53.2,34.4,54.3,8,1,6,41.46,F,Fail
5.2,81.4,65.1,81.0,10,5,7,79.37,B+,Pass
1.1,77.9,73.7,32.3,4,1,7,47.46,F,Fail
4.5,75.2,72.5,79.7,10,3,8,76.6,B+,Pass
5.9,60.3,93.2,77.9,6,10,4,84.62,A,Pass
3.2,74.7,45.6,26.8,6,8,7,56.69,C,Pass
2.2,73.0,43.3,64.7,4,5,3,48.63,F,Fail
4.5,51.1,77.2,22.1,1,2,1,49.72,F,Fail
5.1,58.1,62.5,28.7,9,5,5,65.14,B,Pass
3.7,95.1,83.2,80.8,10,6,7,80.23,A,Pass
5.8,89.4,62.0,25.7,4,7,10,72.5,B+,Pass
1.3,56.0,71.0,86.1,1,10,5,57.46,C,Pass
3.5,98.6,31.6,78.4,7,3,7,60.52,B,Pass
4.6,73.3,82.1,84.0,9,4,2,73.85,B+,Pass
5.3,87.5,96.6,25.5,3,6,4,70.92,B+,Pass
1.9,77.1,38.7,94.9,9,1,9,58.22,C,Pass
5.0,88.2,43.9,94.3,10,6,5,74.94,B+,Pass
3.8,83.1,86.8,88.8,6,4,5,73.53,B+,Pass
3.0,53.3,36.0,35.6,1,2,2,36.67,F,Fail
1.7,95.7,40.5,48.6,10,1,9,53.78,C,Pass
5.3,88.4,40.5,83.9,8,3,4,67.75,B,Pass
1.8,61.1,52.2,67.9,1,9,7,53.54,C,Pass
2.5,61.3,70.4,73.4,4,2,6,56.74,C,Pass
2.5,84.3,67.2,22.2,6,5,1,50.56,C,Pass
5.4,85.0,71.4,32.2,9,4,3,68.78,B,Pass
4.4,54.4,36.0,27.2,1,8,3,48.12,F,Fail
5.0,95.3,44.0,76.6,8,8,4,72.02,B+,Pass
2.3,87.3,91.7,90.7,8,4,3,69.46,B,Pass
4.1,99.2,32.2,20.5,5,10,3,55.45,C,Pass
3.9,71.6,89.5,71.1,4,6,9,74.8,B+,Pass
5.2,54.3,33.3,84.0,6,1,3,57.16,C,Pass
5.5,95.3,61.7,72.7,6,7,10,80.86,A,Pass
1.1,90.6,49.2,25.6,6,9,4,48.6,F,Fail
4.4,50.0,37.2,49.0,4,6,7,56.25,C,Pass
1.3,76.5,36.5,45.3,6,7,8,49.77,F,Fail
3.7,50.4,30.8,94.6,3,1,1,46.73,F,Fail
2.4,67.6,92.8,90.9,10,4,1,68.19,B,Pass
2.5,93.5,39.7,87.0,3,9,8,62.32,B,Pass
2.8,83.7,72.0,45.4,5,10,3,62.38,B,Pass
4.1,92.5,65.6,20.8,8,9,5,67.17,B,Pass
2.7,77.9,53.7,66.7,5,6,9,62.02,B,Pass
4.7,88.7,57.9,60.9,5,10,5,71.28,B+,Pass
3.0,74.3,94.5,24.5,1,5,5,57.73,C,Pass
1.3,75.1,71.6,33.3,7,10,9,61.6,B,Pass
4.9,79.9,84.6,72.3,1,10,3,73.59,B+,Pass
2.4,57.0,55.1,42.2,7,10,10,62.4,B,Pass
3.2,82.2,56.0,21.5,6,2,7,53.24,C,Pass
4.4,92.8,82.5,55.5,5,3,10,73.83,B+,Pass
2.7,58.0,57.4,97.1,8,9,8,70.52,B+,Pass
1.3,68.8,32.0,62.3,6,8,8,51.42,C,Pass
2.9,96.0,85.0,67.3,1,3,1,57.54,C,Pass
5.7,65.6,57.1,89.5,6,10,5,78.06,B+,Pass
4.2,93.8,62.7,43.8,7,8,4,67.43,B,Pass
4.4,82.1,71.3,32.5,2,1,6,57.51,C,Pass
4.2,92.2,33.0,36.0,10,2,9,60.67,B,Pass
2.0,57.1,67.8,97.4,3,2,1,51.27,C,Pass
3.1,89.4,65.1,38.9,9,9,3,64.45,B,Pass
4.8,51.5,33.7,45.1,9,5,2,55.54,C,Pass
1.5,69.7,59.4,56.3,3,2,9,50.26,C,Pass
2.4,64.0,80.3,76.6,7,7,6,67.56,B,Pass
2.4,82.1,57.9,20.6,5,2,7,49.38,F,Fail
3.2,88.2,97.0,77.7,4,3,7,71.53,B+,Pass
5.9,67.3,51.0,23.6,8,2,3,59.62,C,Pass
1.3,91.9,62.4,36.6,5,6,4,50.48,C,Pass
3.6,77.6,45.7,62.3,5,9,6,62.93,B,Pass
1.9,87.6,87.9,28.3,4,1,9,56.58,C,Pass
5.9,86.3,41.9,59.7,5,3,6,65.66,B,Pass
1.6,56.9,66.8,80.5,5,9,3,57.86,C,Pass
3.0,86.6,57.1,42.7,9,4,7,61.34,B,Pass
4.7,91.3,59.3,50.7,5,5,5,65.36,B,Pass
4.5,51.8,83.6,63.7,6,4,8,71.63,B+,Pass
3.1,58.1,77.9,47.8,8,1,4,57.86,C,Pass
2.7,76.0,50.2,75.4,2,1,10,55.26,C,Pass
3.0,52.9,74.7,81.4,1,8,7,64.18,B,Pass
2.3,68.3,51.9,60.8,8,1,10,57.12,C,Pass
2.0,92.0,32.7,41.7,4,10,10,55.63,C,Pass
3.4,55.1,96.4,29.0,6,8,5,66.56,B,Pass
2.3,57.0,66.9,54.0,9,3,9,60.72,B,Pass
2.4,56.0,84.8,71.2,5,9,5,66.08,B,Pass
4.3,77.2,79.6,42.5,7,2,4,64.19,B,Pass
5.8,65.2,99.0,97.1,5,5,6,85.04,A,Pass
4.0,90.8,75.3,78.3,4,1,6,66.65,B,Pass
1.4,79.1,97.3,31.6,2,5,7,56.58,C,Pass
1.4,83.5,90.5,28.1,10,6,7,63.79,B,Pass
5.8,65.4,50.3,70.1,8,3,2,65.83,B,Pass
2.5,74.6,99.1,71.7,1,4,2,59.99,C,Pass
1.5,68.5,79.5,21.0,9,9,9,62.88,B,Pass
4.0,74.9,50.4,20.1,1,1,4,45.1,F,Fail
4.1,84.4,30.7,85.0,8,6,3,62.26,B,Pass
4.2,72.5,30.3,50.6,5,2,8,54.22,C,Pass
2.3,53.3,69.1,85.9,9,9,4,66.69,B,Pass
1.1,68.5,32.2,63.6,2,6,7,43.84,F,Fail
5.8,94.4,55.4,26.9,2,9,7,68.53,B,Pass
2.3,91.2,69.3,54.4,1,9,5,58.8,C,Pass
4.4,91.6,38.8,55.1,8,1,3,56.72,C,Pass
4.5,59.1,31.5,53.9,10,2,1,52.87,C,Pass
4.1,54.0,65.2,74.6,7,7,8,71.29,B+,Pass
2.6,90.7,30.2,82.9,5,3,9,56.46,C,Pass
2.4,83.3,38.9,37.8,5,5,1,44.32,F,Fail
4.0,75.4,84.7,90.7,3,2,3,66.32,B,Pass
5.3,84.4,46.3,51.0,9,3,1,61.86,B,Pass
5.7,96.5,43.8,98.6,3,7,4,72.19,B+,Pass
1.5,56.5,70.3,37.8,3,5,2,44.9,F,Fail
1.8,58.5,74.5,49.9,5,8,3,55.16,C,Pass
5.7,79.5,61.7,56.1,4,4,5,67.59,B,Pass
4.7,85.3,95.2,29.6,1,8,1,65.57,B,Pass
5.4,82.2,32.1,85.1,2,8,4,64.61,B,Pass
2.0,62.7,95.9,21.2,9,3,8,61.42,B,Pass
3.9,81.1,39.6,49.5,7,2,4,54.04,C,Pass
4.5,78.0,96.8,56.2,1,3,4,66.43,B,Pass
4.4,51.2,85.8,44.0,1,3,1,55.77,C,Pass
3.0,81.1,53.2,84.1,2,9,7,64.02,B,Pass
1.1,72.6,48.0,41.8,9,9,6,53.93,C,Pass
3.9,92.7,85.7,51.3,5,5,8,71.99,B+,Pass
2.3,82.8,56.7,80.6,3,4,8,58.74,C,Pass
3.3,77.3,95.9,63.9,3,2,5,64.49,B,Pass
5.8,94.8,86.6,32.7,8,6,6,79.24,B+,Pass
3.0,83.2,56.2,85.4,6,9,10,72.18,B+,Pass
5.2,62.5,74.8,20.9,1,1,6,56.88,C,Pass
1.9,73.4,59.2,24.4,2,4,9,48.4,F,Fail
4.4,83.6,47.9,93.5,2,3,8,64.96,B,Pass
5.9,91.0,80.6,21.1,3,10,6,75.02,B+,Pass
1.5,64.2,65.0,49.4,2,6,6,50.08,C,Pass
1.0,86.3,77.2,65.7,7,5,7,60.78,B,Pass
3.2,84.1,53.2,69.9,8,4,2,59.0,C,Pass
1.5,57.4,31.3,83.9,8,10,7,57.15,C,Pass
4.7,57.6,46.3,28.3,7,7,5,59.38,C,Pass
5.6,75.1,88.4,90.1,7,3,3,78.52,B+,Pass
3.2,70.6,83.3,26.5,6,9,7,66.66,B,Pass
2.3,56.7,89.2,80.0,5,8,4,66.17,B,Pass
3.2,54.4,80.2,91.9,1,9,3,65.08,B,Pass
4.6,94.9,62.6,52.1,3,10,6,70.35,B+,Pass
1.0,59.6,91.4,69.7,8,9,5,65.26,B,Pass
3.9,68.4,79.4,22.3,10,9,5,69.64,B,Pass
4.1,73.3,52.5,78.3,5,6,1,60.6,B,Pass
4.2,54.2,35.5,36.1,1,2,9,48.51,F,Fail
2.2,56.9,37.1,71.0,10,2,7,53.42,C,Pass
4.6,76.3,58.3,61.8,7,10,8,74.88,B+,Pass
1.5,85.0,38.1,59.9,10,10,8,61.01,B,Pass
2.0,92.2,97.1,86.3,3,6,8,71.44,B+,Pass
5.4,93.1,55.8,82.1,5,10,4,76.18,B+,Pass
4.7,77.3,42.2,47.6,4,8,3,59.22,C,Pass
1.1,64.3,81.2,57.0,6,1,7,53.68,C,Pass
2.2,79.0,71.4,91.5,3,3,8,62.28,B,Pass
2.1,81.1,72.6,97.2,9,3,3,64.24,B,Pass
2.4,64.3,59.7,63.4,4,3,8,55.46,C,Pass
2.2,83.4,99.2,72.2,4,4,2,62.77,B,Pass
1.3,58.7,63.9,78.6,8,10,2,58.84,C,Pass
3.3,64.8,35.3,26.8,5,7,7,51.52,C,Pass
4.7,96.5,49.2,89.4,8,2,3,67.16,B,Pass
4.0,75.5,65.0,32.1,4,4,10,62.61,B,Pass
4.4,57.5,72.8,39.8,2,10,2,61.52,B,Pass
1.4,83.4,67.9,82.6,2,5,8,58.3,C,Pass
5.8,61.5,66.3,98.0,6,4,1,71.62,B+,Pass
5.2,51.7,31.7,98.5,1,7,3,59.67,C,Pass
5.0,93.6,52.6,90.1,8,10,5,79.03,B+,Pass
5.1,71.7,80.4,37.2,2,7,2,64.25,B,Pass
5.7,88.9,64.2,52.9,1,2,8,66.68,B,Pass
3.7,92.7,51.6,48.5,3,3,7,57.24,C,Pass
2.0,78.7,50.1,76.1,10,2,2,53.81,C,Pass
4.1,54.8,85.9,47.6,10,4,9,73.5,B+,Pass
4.7,66.0,45.5,52.2,3,7,2,56.6,C,Pass
4.7,62.6,56.9,26.7,9,8,5,65.29,B,Pass
3.6,80.2,53.8,51.4,4,10,10,67.58,B,Pass
1.3,70.5,30.4,34.1,5,5,10,44.96,F,Fail
2.9,70.6,69.5,47.8,8,10,2,63.2,B,Pass
5.6,82.7,54.8,55.6,10,6,2,70.71,B+,Pass
3.9,51.6,68.4,98.9,2,6,10,70.69,B+,Pass
3.7,56.6,70.7,59.0,4,1,6,57.99,C,Pass
2.3,94.4,39.3,64.5,10,8,1,57.14,C,Pass
2.8,91.8,82.1,55.3,3,7,6,65.2,B,Pass
5.5,97.1,73.9,30.0,1,1,6,62.68,B,Pass
4.3,60.5,86.0,65.3,6,10,5,75.54,B+,Pass
4.9,67.1,53.1,50.5,10,6,5,68.16,B,Pass
3.3,55.6,56.3,65.1,4,9,7,62.6,B,Pass
4.2,82.0,38.7,71.4,7,1,6,59.38,C,Pass
2.2,89.1,37.3,79.1,10,6,7,61.9,B,Pass
4.5,80.9,60.1,65.0,7,6,9,72.87,B+,Pass
3.1,79.8,41.8,25.8,5,1,9,49.7,F,Fail
3.2,90.1,88.1,20.7,4,8,10,68.94,B,Pass
4.2,54.4,83.9,60.8,5,6,6,69.34,B,Pass
5.7,87.1,65.1,37.0,3,6,2,64.33,B,Pass
1.3,94.6,33.9,33.7,7,7,6,48.19,F,Fail
5.1,82.3,73.3,89.1,4,1,3,68.32,B,Pass
2.5,84.2,92.2,94.8,10,6,2,73.69,B+,Pass
3.2,82.2,45.6,89.6,1,2,9,57.86,C,Pass
1.1,91.2,50.2,81.3,8,4,1,51.26,C,Pass
2.5,69.8,86.3,67.8,5,4,10,67.72,B,Pass
3.5,92.9,94.9,75.0,7,5,9,79.26,B+,Pass
1.3,63.5,59.7,91.0,4,1,10,55.12,C,Pass
3.5,55.8,55.0,68.3,5,9,4,61.58,B,Pass
5.6,53.1,97.4,48.7,3,9,1,72.37,B+,Pass
1.5,54.9,75.3,34.9,7,6,4,52.55,C,Pass
4.8,72.8,70.2,56.8,2,1,6,61.55,B,Pass
3.0,79.8,76.9,89.6,6,9,4,71.64,B+,Pass
4.3,81.8,82.0,38.5,3,9,8,71.66,B+,Pass
2.3,78.2,90.8,54.3,9,10,2,68.86,B,Pass
1.8,60.3,58.1,95.3,8,9,10,69.05,B,Pass
1.8,93.3,59.4,34.3,9,10,2,57.53,C,Pass
1.4,60.5,56.5,86.5,2,7,8,55.75,C,Pass
1.9,91.3,78.5,71.5,1,9,8,65.08,B,Pass
4.3,85.7,55.9,62.4,6,5,10,70.1,B+,Pass
5.4,67.8,78.5,78.3,2,9,8,78.75,B+,Pass
5.1,71.1,72.9,71.5,5,1,1,63.46,B,Pass
4.4,90.7,87.7,74.5,9,7,8,83.77,A,Pass
1.6,99.3,31.4,91.5,6,6,4,53.9,C,Pass
2.4,62.2,37.7,47.4,7,6,10,55.36,C,Pass
2.5,84.4,59.1,76.0,9,8,6,67.62,B,Pass
2.2,53.7,69.5,24.9,5,1,2,43.28,F,Fail
3.6,54.0,54.4,98.5,7,5,7,67.18,B,Pass
3.7,72.5,70.4,30.5,3,9,1,57.23,C,Pass
2.8,50.9,41.5,20.4,10,5,4,48.72,F,Fail
2.8,95.5,87.9,83.1,3,9,1,68.19,B,Pass
5.1,69.3,59.4,94.9,3,3,2,64.41,B,Pass
4.9,69.1,91.3,34.2,5,5,9,73.46,B+,Pass
2.5,66.3,63.4,64.9,2,1,5,50.22,C,Pass
5.6,64.9,34.7,92.2,5,7,9,72.4,B+,Pass
5.8,54.7,96.7,30.2,4,4,7,72.38,B+,Pass
2.6,80.4,35.5,44.2,3,9,10,55.94,C,Pass
2.8,62.7,53.3,52.4,3,9,1,51.66,C,Pass
3.5,67.4,36.6,93.5,8,1,4,56.92,C,Pass
5.7,66.8,42.7,43.4,2,4,2,54.66,C,Pass
5.4,67.0,56.7,64.5,7,8,7,74.15,B+,Pass
1.5,94.0,51.6,98.5,10,2,6,61.08,B,Pass
3.0,73.5,88.6,80.7,4,1,2,60.6,B,Pass
3.8,75.5,92.8,76.0,3,1,9,70.35,B+,Pass
3.5,89.2,74.9,47.6,10,8,9,75.78,B+,Pass
2.0,65.4,83.1,56.3,4,2,8,57.76,C,Pass
5.3,88.0,44.3,39.8,9,5,4,65.04,B,Pass
4.4,59.0,39.2,29.9,4,8,6,55.78,C,Pass
5.2,85.4,43.9,61.8,10,4,9,72.59,B+,Pass
5.3,57.2,68.4,50.3,7,2,1,61.57,B,Pass
4.7,84.4,95.8,22.3,1,2,7,64.54,B,Pass
3.2,73.4,94.1,68.0,2,4,8,67.86,B,Pass
4.1,53.3,68.1,59.2,9,6,6,68.63,B,Pass
1.8,80.0,96.0,84.2,8,9,8,76.83,B+,Pass
4.4,84.6,59.1,44.5,10,8,1,66.51,B,Pass
1.9,60.1,83.7,97.7,4,4,10,67.19,B,Pass
4.5,96.8,40.7,43.5,1,6,5,56.38,C,Pass
2.1,61.4,90.7,30.8,3,7,5,56.84,C,Pass
1.6,65.6,89.8,85.9,7,6,5,66.29,B,Pass
1.8,86.8,97.2,92.7,6,4,7,71.09,B+,Pass
1.0,60.0,65.3,69.1,3,9,6,54.69,C,Pass
4.6,96.1,68.9,54.6,9,8,4,74.42,B+,Pass
4.7,82.0,50.4,63.5,10,1,4,64.12,B,Pass
3.6,87.4,97.2,88.2,2,1,6,69.67,B,Pass
1.8,55.9,43.5,80.1,2,6,9,52.68,C,Pass
1.4,91.1,88.1,64.9,3,2,9,60.47,B,Pass
1.1,78.4,85.1,99.5,5,7,10,70.44,B+,Pass
1.8,88.5,38.1,23.3,7,8,2,46.07,F,Fail
5.5,53.6,34.3,67.3,1,2,7,56.03,C,Pass
2.2,80.4,37.8,87.4,8,5,10,62.4,B,Pass
2.8,84.5,98.3,90.2,3,4,2,66.76,B,Pass
1.5,74.7,48.2,59.7,3,2,7,46.48,F,Fail
2.1,91.8,88.0,37.6,8,4,4,61.22,B,Pass
3.6,97.0,42.4,92.7,5,3,1,57.6,C,Pass
4.0,61.1,50.4,28.7,2,10,5,56.02,C,Pass
2.2,53.0,77.6,56.0,8,5,4,58.9,C,Pass
1.3,88.7,52.6,53.3,4,9,10,58.22,C,Pass
3.0,74.0,85.3,78.7,7,4,5,68.53,B,Pass
2.2,52.9,65.2,59.8,10,10,3,62.36,B,Pass
2.1,54.5,41.6,49.5,3,8,5,47.68,F,Fail
5.8,61.4,51.4,60.3,4,3,10,68.24,B,Pass
4.1,50.2,72.8,81.4,10,6,5,72.83,B+,Pass
3.8,73.5,61.3,48.9,4,2,1,52.21,C,Pass
3.1,68.5,68.0,56.4,3,3,1,51.71,C,Pass
3.1,52.3,51.7,27.4,4,3,3,44.67,F,Fail
3.7,62.1,58.8,80.5,4,8,4,63.78,B,Pass
4.5,87.0,63.8,28.6,4,5,10,65.94,B,Pass
4.5,90.4,49.2,28.3,3,10,7,63.58,B,Pass
1.9,50.2,47.6,50.3,10,8,4,54.07,C,Pass
3.5,55.3,65.1,90.0,1,9,10,69.31,B,Pass
3.1,99.9,30.9,43.8,9,2,3,50.68,C,Pass
5.4,82.4,91.2,78.0,2,4,9,79.34,B+,Pass
4.2,84.2,37.7,64.1,8,7,8,67.26,B,Pass
3.7,69.0,32.7,48.5,5,5,5,52.15,C,Pass
1.6,75.2,51.4,38.7,10,4,9,55.58,C,Pass
4.0,75.4,58.1,49.8,5,5,9,64.54,B,Pass
1.6,67.4,44.8,56.2,4,2,4,42.77,F,Fail
2.7,84.5,70.2,43.1,9,2,10,64.26,B,Pass
1.7,78.6,38.2,33.0,3,6,10,48.16,F,Fail
4.5,97.2,52.0,46.9,2,9,1,59.76,C,Pass
2.0,50.3,95.1,39.2,4,3,2,51.68,C,Pass
3.0,94.3,52.9,70.3,3,8,3,59.2,C,Pass
5.5,97.5,86.6,73.4,10,9,4,87.41,A,Pass
2.0,57.4,80.9,22.4,2,2,7,48.32,F,Fail
3.5,61.1,49.8,97.6,8,7,1,63.2,B,Pass
3.1,52.5,45.1,27.9,5,2,3,43.11,F,Fail
1.1,61.8,59.3,50.7,9,3,2,47.01,F,Fail
5.0,82.0,95.2,87.1,6,1,5,77.06,B+,Pass
1.3,60.8,40.8,57.6,6,5,6,47.12,F,Fail
3.4,92.6,50.8,25.5,7,10,9,65.39,B,Pass
3.8,95.7,34.6,51.5,6,6,1,54.14,C,Pass
4.1,51.4,73.6,23.6,6,6,1,56.48,C,Pass
4.4,75.3,38.9,96.6,8,7,5,69.34,B,Pass
2.3,50.8,55.0,43.7,9,7,1,51.58,C,Pass
1.0,81.0,74.3,75.2,7,10,1,59.96,C,Pass
4.6,67.4,77.6,57.9,9,9,9,80.22,A,Pass
3.7,92.3,68.2,43.1,4,10,10,71.54,B+,Pass
5.2,95.9,37.6,25.2,5,8,1,57.57,C,Pass
5.1,74.9,81.2,20.2,1,9,5,66.22,B,Pass
5.2,97.6,43.7,68.7,9,9,1,70.79,B+,Pass
3.4,93.3,76.7,43.4,9,1,3,61.62,B,Pass
2.7,54.8,86.8,90.3,6,2,8,67.53,B,Pass
5.0,67.8,52.8,66.9,5,1,2,58.02,C,Pass
3.3,67.0,54.9,34.3,6,9,9,62.77,B,Pass
1.9,65.2,87.5,74.2,10,9,5,71.12,B+,Pass
5.3,89.9,77.9,55.2,1,10,8,76.94,B+,Pass
5.4,65.0,70.3,22.2,7,3,3,62.0,B,Pass
3.3,69.0,51.4,23.6,9,6,10,61.49,B,Pass
1.4,54.3,69.0,71.1,1,1,1,41.94,F,Fail
2.9,76.0,82.4,70.0,5,5,2,62.3,B,Pass
5.0,55.9,35.3,41.3,10,2,10,62.61,B,Pass
5.5,93.5,65.0,76.6,1,3,8,71.09,B+,Pass
2.0,89.9,41.8,85.0,2,1,9,52.19,C,Pass
1.3,65.1,99.8,61.9,10,2,10,67.94,B,Pass
5.4,50.2,61.6,24.1,7,6,4,62.64,B,Pass
2.9,53.6,44.1,80.9,3,7,7,57.12,C,Pass
3.7,60.9,55.1,82.1,4,3,5,58.98,C,Pass
5.8,74.9,34.6,84.8,2,7,6,67.06,B,Pass
1.3,86.6,68.3,70.8,7,6,1,55.56,C,Pass
4.2,54.9,81.8,93.1,6,8,3,73.7,B+,Pass
1.4,85.4,80.9,54.1,7,4,4,57.48,C,Pass
2.9,77.3,92.1,73.8,7,2,1,63.42,B,Pass
5.0,81.0,69.8,39.9,9,3,8,71.54,B+,Pass
3.2,96.4,81.2,25.2,7,7,6,66.52,B,Pass
6.0,97.6,81.1,91.1,9,2,2,80.7,A,Pass
3.8,86.9,41.2,94.3,10,5,2,65.33,B,Pass
2.6,84.6,70.3,27.6,4,9,1,54.58,C,Pass
2.1,88.1,85.0,25.8,8,7,5,62.33,B,Pass
2.8,83.7,83.5,54.6,7,2,10,67.63,B,Pass
2.9,50.5,61.2,93.9,7,8,2,63.04,B,Pass
1.3,99.8,33.9,62.8,1,4,6,44.08,F,Fail
2.8,81.8,69.1,99.6,7,5,6,69.6,B,Pass
3.3,74.4,73.0,77.7,8,4,2,64.54,B,Pass
4.6,72.6,75.4,97.9,6,6,8,79.19,B+,Pass
4.3,61.7,90.1,72.3,1,3,7,67.74,B,Pass
4.5,73.8,90.3,88.8,10,7,5,83.28,A,Pass
1.0,86.7,91.9,79.4,10,4,10,71.56,B+,Pass
2.1,62.7,77.0,86.7,10,9,7,72.93,B+,Pass
4.3,92.3,30.5,95.0,4,3,2,57.3,C,Pass
3.4,60.5,69.3,74.5,8,6,5,67.15,B,Pass
1.0,92.9,49.6,59.9,3,1,4,42.68,F,Fail
5.0,79.2,59.9,89.2,7,2,10,75.28,B+,Pass
4.9,91.9,39.3,70.2,5,3,5,62.14,B,Pass
3.7,70.8,77.8,29.8,4,5,1,55.8,C,Pass
1.3,66.1,72.0,50.7,4,8,2,51.42,C,Pass
4.8,84.9,67.5,49.7,5,7,9,73.02,B+,Pass
3.9,68.1,59.5,78.5,5,8,9,71.06,B+,Pass
4.9,97.6,56.4,22.4,1,2,6,55.82,C,Pass
4.8,87.0,59.8,52.2,3,7,6,66.68,B,Pass
5.0,71.5,74.2,40.8,9,10,3,73.82,B+,Pass
3.6,58.7,42.7,65.5,1,3,6,50.77,C,Pass
1.7,77.8,32.1,39.5,2,3,9,42.53,F,Fail
4.4,79.8,56.0,79.0,9,2,6,68.43,B,Pass
4.1,98.4,40.0,42.7,5,3,6,56.64,C,Pass
4.7,87.2,74.7,26.8,1,5,8,64.22,B,Pass
1.8,62.7,70.1,71.0,7,9,3,60.64,B,Pass
2.0,63.1,99.8,86.3,2,6,7,67.2,B,Pass
5.5,79.0,30.5,30.0,4,10,1,57.02,C,Pass
4.7,56.0,74.7,98.6,5,3,6,71.87,B+,Pass
5.5,84.8,59.4,79.8,7,5,7,76.3,B+,Pass
4.8,54.0,99.4,77.2,10,1,10,82.03,A,Pass
4.0,78.7,76.0,30.5,2,3,8,60.45,B,Pass
4.3,99.1,82.5,36.4,3,9,3,68.19,B,Pass
5.4,93.6,97.6,87.6,8,10,8,94.5,A+,Pass
3.9,92.2,37.9,62.9,3,2,2,50.73,C,Pass
4.2,87.5,91.6,78.9,5,9,5,79.28,B+,Pass
1.8,96.4,51.0,32.5,6,10,2,52.46,C,Pass
3.4,96.5,56.7,94.5,3,3,8,65.6,B,Pass
4.6,58.1,90.9,82.4,9,3,10,81.3,A,Pass
2.4,61.4,70.6,77.1,2,6,6,58.96,C,Pass
2.0,96.2,70.6,96.0,6,8,6,69.67,B,Pass
2.6,63.7,58.8,53.3,10,1,5,55.46,C,Pass
2.2,69.0,33.8,43.3,9,7,1,47.64,F,Fail
2.1,52.1,78.9,38.3,8,8,6,61.08,B,Pass
3.1,95.0,85.8,98.9,3,6,6,73.18,B+,Pass
5.5,53.6,82.4,53.2,2,5,1,63.94,B,Pass
3.5,76.5,86.6,77.3,4,5,9,72.9,B+,Pass
1.9,61.0,55.4,42.6,8,2,9,52.94,C,Pass
1.4,51.4,94.7,42.3,8,3,2,53.76,C,Pass
4.5,64.5,97.9,66.4,3,9,9,79.88,B+,Pass
2.9,83.2,87.2,74.5,10,2,2,66.9,B,Pass
5.1,54.5,85.6,30.3,10,2,6,69.8,B,Pass
4.3,92.6,85.4,67.1,1,4,1,63.88,B,Pass
5.0,84.6,45.4,69.1,7,8,6,71.18,B+,Pass
2.4,52.9,60.9,84.5,5,5,1,53.79,C,Pass
4.5,70.2,38.3,62.2,9,10,1,63.92,B,Pass
2.3,90.4,62.9,34.5,8,1,2,50.14,C,Pass
5.7,96.6,61.8,98.7,7,6,4,79.72,B+,Pass
4.2,81.4,33.3,55.9,4,8,6,59.65,C,Pass
2.6,84.1,76.6,62.7,10,6,3,66.37,B,Pass
2.3,93.8,36.7,97.7,8,4,9,63.41,B,Pass
2.0,72.7,72.4,94.8,2,9,4,62.59,B,Pass
4.5,85.4,57.9,73.2,5,8,9,74.0,B+,Pass
2.1,78.9,84.8,33.8,4,4,2,52.56,C,Pass
4.0,84.8,97.3,33.2,10,10,10,83.78,A,Pass
2.3,94.1,62.4,54.7,1,10,1,54.42,C,Pass
4.3,89.5,60.4,31.9,2,3,6,57.04,C,Pass
5.1,56.4,42.8,74.1,9,7,9,72.85,B+,Pass
4.9,96.6,34.4,90.3,4,4,4,63.4,B,Pass
4.8,52.5,52.6,44.5,6,2,8,60.28,B,Pass
1.9,87.8,62.8,63.2,10,10,2,63.56,B,Pass
